Наименование ДП,Факт. 1,Факт. 2,Факт. 3,Факт. 4,Факт. 5,Факт. 6,Факт. 7,Факт. 8,Факт. 9,Факт. 10,Факт. 11,Факт. 12,Факт. 13,Факт. 14,Факт. 15,Факт. 16,Факт. 17,Факт. 18,Факт. 19,Факт. 20,Факт. 21,Факт. 22,Факт. 23,Факт. 24,Факт. 25,Факт. 26,Факт. 27,Факт. 28,Факт. 29,Факт. 30,Факт. 31,Факт. 32,Факт. 33,Факт. 34,Факт. 35,Факт. 36,Факт. 37,Факт. 38,Факт. 39,Факт. 40,Факт. 41,Факт. 42,Факт. 43,Факт. 44,Факт. 45,Факт. 46,Факт. 47,Факт. 48,Факт. 49,Факт. 50,Факт. 51,Факт. 52,Факт. 53,Факт. 54,Факт. 55,Факт. 56,Факт. 57,Факт. 58,Факт. 59,Факт. 60,Итого,"Макс. ПДЗ за 2020 год, дней","Сред. ПДЗ за 2020 год, дней","Кол-во просрочек свыше 5-ти дней за 2020 год, шт.","Общая сумма ПДЗ свыше 5-ти дней за 2020 год, руб.","Кол-во раз ПДЗ за 2020 год, шт.","2016, Нематериальные активы, RUB","2017, Нематериальные активы, RUB","2018, Нематериальные активы, RUB","2019, Нематериальные активы, RUB","2016, Основные средства , RUB","2017, Основные средства , RUB","2018, Основные средства , RUB","2019, Основные средства , RUB","2016, Внеоборотные активы, RUB","2017, Внеоборотные активы, RUB","2018, Внеоборотные активы, RUB","2019, Внеоборотные активы, RUB","2016, Дебиторская задолженность, RUB","2017, Дебиторская задолженность, RUB","2018, Дебиторская задолженность, RUB","2019, Дебиторская задолженность, RUB","2016, Оборотные активы, RUB","2017, Оборотные активы, RUB","2018, Оборотные активы, RUB","2019, Оборотные активы, RUB","2016, Уставный капитал , RUB","2017, Уставный капитал , RUB","2018, Уставный капитал , RUB","2019, Уставный капитал , RUB","2016, Капитал и резервы, RUB","2017, Капитал и резервы, RUB","2018, Капитал и резервы, RUB","2019, Капитал и резервы, RUB","2016, Заёмные средства (долгосрочные), RUB","2017, Заёмные средства (долгосрочные), RUB","2018, Заёмные средства (долгосрочные), RUB","2019, Заёмные средства (долгосрочные), RUB","2016, Долгосрочные обязательства, RUB","2017, Долгосрочные обязательства, RUB","2018, Долгосрочные обязательства, RUB","2019, Долгосрочные обязательства, RUB","2016, Заёмные средства (краткосрочные), RUB","2017, Заёмные средства (краткосрочные), RUB","2018, Заёмные средства (краткосрочные), RUB","2019, Заёмные средства (краткосрочные), RUB","2016, Кредиторская задолженность, RUB","2017, Кредиторская задолженность, RUB","2018, Кредиторская задолженность, RUB","2019, Кредиторская задолженность, RUB","2016, Краткосрочные обязательства, RUB","2017, Краткосрочные обязательства, RUB","2018, Краткосрочные обязательства, RUB","2019, Краткосрочные обязательства, RUB","2016, Выручка, RUB","2017, Выручка, RUB","2018, Выручка, RUB","2019, Выручка, RUB","2016, Себестоимость продаж, RUB","2017, Себестоимость продаж, RUB","2018, Себестоимость продаж, RUB","2019, Себестоимость продаж, RUB","2016, Прибыль (убыток) до налогообложения , RUB","2017, Прибыль (убыток) до налогообложения , RUB","2018, Прибыль (убыток) до налогообложения , RUB","2019, Прибыль (убыток) до налогообложения , RUB","2016, Прибыль (убыток) от продажи, RUB","2017, Прибыль (убыток) от продажи, RUB","2018, Прибыль (убыток) от продажи, RUB","2019, Прибыль (убыток) от продажи, RUB"
0,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,10,Х,Х,Х,Х,Н/Д,Х,Х,Х,Х,Х,Х,10.0,10,6.4,4,2229696.445859872,5,2895541.401273885,6245859.872611465,9050955.414012738,9885987.261146495,1889724203.821656,1803724203.821656,2145239490.44586,3606102547.770701,1928685350.318471,1880842038.21656,2440077707.006369,3737611464.968153,3583765605.095541,3683358598.726114,3475461146.496815,3692142038.21656,5159380254.77707,5897326114.649681,6077447770.700637,4981792356.687898,629400000.0,629400000.0,629400000.0,629400000.0,2673019745.22293,2971017197.452229,2289273885.350318,4865035031.847134,0.0,0.0,0.0,0.0,249877707.0063694,258973248.4076433,271221019.1082802,276483439.4904459,0.0,0.0,392391719.7452229,0.0,4080056050.955414,4452921656.050955,5476906369.426751,3478978343.949044,4165168152.866242,4548177707.00637,5957030573.248407,3577885350.318471,26676980254.77707,41626929936.30573,37039522292.99363,32347554140.12739,21568144585.98726,33354425477.707,34383128662.42038,26734812101.91083,3179696815.286624,6167666878.980891,746182802.5477706,3603784076.433121,3280355414.012739,6200119745.22293,871619108.2802547,3658633757.961784
1,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,10,Х,Х,Х,Х,10,Х,Х,Х,Х,Х,Х,20.0,4,4.0,0,0.0,1,0.0,38853.50318471337,34394.90445859872,29299.36305732484,144810828.0254777,148715286.6242038,152642675.1592357,172845859.8726115,145678343.9490446,149798726.1146497,153892356.6878981,174263694.2675159,55847770.70063694,46782165.60509554,156347770.7006369,173863694.2675159,148915286.6242038,189898726.1146497,291463694.2675159,373843312.1019108,1345859.872611465,1345859.872611465,1345859.872611465,1345859.872611465,272664968.1528662,277408280.2547771,310658598.7261146,377949681.5286624,0.0,0.0,0.0,0.0,3108280.25477707,4528025.477707006,5033757.961783439,5659235.668789809,9745222.929936305,47606369.42675159,63498726.11464968,82392993.63057324,9075159.23566879,10154777.07006369,66164968.15286624,82105095.54140127,18820382.16560509,57761146.49681529,129663694.2675159,164498089.1719745,255489808.9171974,257366878.9808917,543430573.2484076,724126114.6496814,205681528.6624204,205532484.0764331,416979617.8343949,534995541.4012738,12123566.87898089,6944585.987261146,44800636.94267516,87475159.2356688,16300636.94267516,11091719.74522293,51357324.84076433,94110191.08280256
2,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,30,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,10,Х,Х,Х,Х,Н/Д,Х,Х,Х,Х,Х,Х,40.0,6,5.333333333333333,2,3759242.03821656,3,2468152.866242038,12880254.77707006,8694904.458598725,4958598.726114649,969806369.4267516,944416560.509554,928738853.5031848,1027507643.312102,973274522.2929935,1036412101.910828,1018682165.605096,1233413375.796178,281467515.9235669,232107006.3694268,228049681.5286624,277031210.1910828,1286917197.452229,1489083439.490446,1590216560.509554,837764968.1528662,19644585.98726114,19644585.98726114,19644585.98726114,19644585.98726114,2110424840.764331,2339440127.388535,2378698089.171975,1854768789.808917,0.0,0.0,0.0,0.0,13398089.17197452,11831210.1910828,2843949.044585987,0.0,0.0,0.0,0.0,0.0,82468789.8089172,88571974.52229299,123771337.5796178,115282802.5477707,136368789.8089172,174224203.821656,227356687.8980892,216409554.1401274,2786577070.063694,2699396815.286624,2592420382.165605,2754207643.312102,2038075796.178344,2178598089.171975,2316724203.821656,2460678980.89172,502666242.0382165,364422929.9363057,85529936.30573247,-645643949.044586,414858598.7261146,161131847.1337579,-92989808.91719744,-120721019.1082803
3,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Н/Д,Х,Х,10,Х,Х,Х,Х,Х,Х,10.0,8,6.2,3,7152926.770700637,5,0.0,0.0,0.0,0.0,8874127388.535032,10609771337.57962,14264915923.56688,16362338853.50318,10978240127.38854,12799207643.3121,18201022292.99363,21823241401.27388,3047629936.305732,3525893630.573248,5362189808.917197,5669854777.070064,4842292993.630573,5397731847.133758,7929949681.528662,8830169426.751593,7951592.356687898,20382165.60509554,20382165.60509554,20382165.60509554,8408440127.388535,10550740127.38854,15085494904.4586,18225545222.92993,4107721656.050955,2786053503.184713,5998324840.764331,7705152866.242038,4772777707.00637,3555463057.324841,6928275796.178344,8877770063.694267,1230838216.560509,1463344585.987261,966515286.6242038,1920373248.407644,1214650955.414013,2390994267.515924,2522167515.923567,1333817197.452229,2639315286.624204,4090736305.732484,4117201273.88535,3550095541.401274,16895203821.65605,17789442675.15923,21657988535.03185,18804396178.34395,10141487898.08917,10635421019.10828,11713152229.29936,12726040127.38854,4100856687.898089,4481280891.719745,6840634394.904458,3999298089.171974,4903116560.509554,5186552866.242038,7869977070.063694,4029232484.076433
4,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,10,Х,Х,Х,Х,10,Х,Х,Х,Х,Х,Х,20.0,1,1.0,0,0.0,2,550318.4713375795,521019.1082802548,449044.5859872612,398726.1146496815,26331612101.91083,29385844585.98726,30089698726.11465,30264612738.8535,111404193630.5732,104497008917.1974,100154213375.7962,120662075159.2357,4541816560.509554,4383371974.522293,11246701273.88535,10521138853.50318,8228871974.522293,9396645859.872612,20771890445.85987,15250298089.17197,595541.4012738853,595541.4012738853,595541.4012738853,595541.4012738853,14880383439.49045,5645400000.0,10544059872.61146,6407566878.980891,62352467515.92356,95734443312.10191,90432717197.45222,95504385987.26114,63118373248.40764,97175324840.76431,92237910191.0828,98182435668.7898,35729452229.29936,6409564968.152866,13562033757.96178,25736810191.0828,5608172611.464968,4287299363.057325,3855060509.55414,4801099363.057324,41634308917.19745,11072929936.30573,18144133757.96178,31322370700.63694,47169338853.50318,66582429936.30573,86119098089.17197,94097654140.12738,19501673248.40764,23400422292.99363,26525468789.80892,30558275159.23567,71639800636.94267,37998624203.82166,45936061783.43949,49604078343.94904,23389118471.33758,37279844585.98726,53075239490.44585,56221224840.76433
5,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,10,Х,10,Х,Х,10,Х,Х,Х,Х,10,Х,40.0,21,17.66666666666667,5,4486078.904458598,6,13649681.52866242,10221656.05095541,22117197.4522293,24894904.45859873,35452358598.72611,35819603821.65605,35873358598.72611,39420564331.21019,35844258598.72611,35880066242.03822,36543041401.27389,39925541401.27388,3929728662.420382,6912857324.840764,6165454777.070064,19020166242.03822,26104071337.57962,27744347133.75796,44115340127.38853,31309885987.26115,1983439.49044586,1983439.49044586,1983439.49044586,1983439.49044586,51540270700.63694,47398566878.98089,63850556050.95541,48905205095.5414,4990870700.636943,4283736305.732484,4142978980.89172,2237329299.363057,5941926751.592357,6070075796.178344,6026959872.611465,4169849044.585987,1403783439.490446,1240860509.55414,3446008280.254777,1503112738.853503,2898902547.7707,8729386624.203821,7086105732.484076,16405092356.6879,4466132484.076433,10155770700.63694,10780865605.09554,18160373248.40764,23884656050.95541,33614252866.24204,46379745859.87261,52539207006.36942,8572090445.859872,12485565605.09554,14396717834.3949,15606152866.24204,9990123566.87898,18731511464.96815,34894135031.84713,32952542038.21656,11493848407.64331,19628121656.05096,30425531847.13376,34805550318.47134
6,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,30,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,10,Х,Х,Х,Х,Н/Д,Х,Х,Х,Х,Х,Х,40.0,0,0.0,0,0.0,0,589808.9171974522,539490.4458598726,489808.9171974522,441401.2738853503,10127901910.82803,11503770063.69427,11142412738.8535,12484871974.52229,47680943949.04459,41387948407.64331,42873052229.29936,33753598726.11465,5114849681.528663,6560424203.821656,10995872611.46497,8921848407.643312,19438182802.54777,25101177070.06369,26334457324.84076,16602068789.80892,2717197.452229299,2717197.452229299,2717197.452229299,2717197.452229299,6494964968.152866,2784839490.44586,1500636942.675159,810621656.0509554,45461484076.43312,48036178980.89172,59883778343.94904,40571640764.33121,46169423566.87898,48899433757.96178,60827592993.63057,41414824203.82166,1579972611.464968,10119656050.95541,711331210.1910827,1390140127.388535,12590846496.81529,4416149044.585987,5925311464.968153,6442635031.847134,14454738216.56051,14804852229.29936,6879279617.834394,8130221656.050955,50668677070.06369,59786529936.30573,75005711464.96815,65814555414.01273,36929883439.49045,42269070063.69427,49694920382.1656,55555932484.07643,22945890445.85987,11160377707.00637,12242540127.38854,4937961146.496815,10291078343.94904,13457445859.87261,20944695541.40127,5430333121.019108
7,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,30,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,10,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,40.0,18,6.882352941176471,7,2622550.140127389,17,0.0,0.0,0.0,0.0,35815923.56687898,30640127.38853503,31544585.98726114,27776433.1210191,82024203.82165605,78015923.56687897,74730573.24840765,71534394.9044586,151794904.4585987,158761783.4394904,47075796.17834394,47875159.23566879,239101273.8853503,227884076.433121,122335031.8471338,133984076.433121,111464.9681528662,111464.9681528662,111464.9681528662,111464.9681528662,276844585.9872611,265335668.7898089,158047770.7006369,160194267.5159236,0.0,0.0,0.0,0.0,890445.8598726115,2000636.942675159,1170063.694267516,737579.6178343949,9554.140127388537,6384076.433121019,11165605.0955414,13996815.2866242,40801273.88535032,29595541.40127388,24449681.52866242,28761146.49681529,43390445.85987261,38563694.26751592,37847770.70063694,44586624.20382165,444920382.1656051,427414012.7388535,397070063.6942675,331110828.0254777,382854140.1273885,392873885.3503184,366075796.178344,302210191.0828025,35164331.21019108,10854140.12738854,8917834.394904459,12585350.31847134,40073885.35031847,17549681.52866242,16398726.11464968,16619745.22292994
8,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,10,Х,Х,Х,Х,10,Х,Х,Х,Х,Х,Х,20.0,6,2.411764705882353,1,202624.5605095541,17,0.0,0.0,0.0,0.0,183940764.3312102,0.0,436887261.1464968,513924840.7643312,185503184.7133757,0.0,438275159.2356688,515273885.3503184,72462420.3821656,0.0,110446496.8152866,82609554.14012739,303647133.7579617,0.0,281873248.4076433,359727388.5350319,170700.6369426752,0.0,170700.6369426752,170700.6369426752,301803184.7133758,0.0,412044585.9872611,429540127.388535,0.0,0.0,181376433.1210191,204732484.0764331,4659872.611464968,0.0,188318471.3375796,216596815.2866242,57324840.76433121,0.0,31847133.75796178,87840127.38853502,118577707.0063694,0.0,76364331.21019109,133442038.2165605,182687261.1464968,0.0,119785350.3184713,228864331.2101911,924388535.0318472,0.0,1031371974.522293,1157608280.254777,817626114.6496814,0.0,922115923.5668788,1037101273.88535,87852229.29936305,0.0,98444585.98726116,53671974.52229299,72650318.47133757,0.0,65754140.12738853,65621656.05095541
9,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,30,Х,Х,Х,Н/Д,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,10,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,40.0,211,103.3888888888889,16,26025310.15286624,18,15286.62420382166,13375.79617834395,11464.96815286624,9554.140127388537,7561783.439490446,21100000.0,31663057.32484076,27977070.06369426,7653503.184713376,21175796.17834395,31733121.01910828,34759872.61146497,83891719.74522293,84185350.31847133,123931210.1910828,65626751.59235668,163126114.6496815,186939490.4458599,226256050.955414,156850318.4713376,87898.08917197451,87898.08917197451,87898.08917197451,87898.08917197451,96801910.82802548,106997452.2292994,107647133.7579618,82296178.34394903,4267515.923566879,44585987.26114649,0.0,0.0,5112738.853503184,46331210.1910828,1495541.401273885,2189171.974522293,0.0,0.0,33610828.02547771,0.0,67093630.5732484,54471337.57961784,114919108.2802548,107061783.4394904,68864968.15286624,54786624.20382165,148846496.8152866,107124840.7643312,418696815.2866242,379060509.5541401,339275159.2356688,280462420.3821656,338498726.1146497,313912101.910828,289257324.8407643,266484076.433121,21464331.21019108,13606369.42675159,1393630.573248408,-31038216.56050955,37409554.14012739,15840127.38853503,7669426.751592357,-28285987.2611465
