Unnamed: 0,Наименование ДП,"Макс. ПДЗ за 2019 год, дней","Сред. ПДЗ за 2019 год, дней","Кол-во просрочек свыше 5-ти дней за 2019 год, шт.","Общая сумма ПДЗ свыше 5-ти дней за 2019 год, руб.","Кол-во раз ПДЗ за 2019 год, шт.","Макс. ПДЗ за 2020 год, дней","Сред. ПДЗ за 2020 год, дней","Кол-во просрочек свыше 5-ти дней за 2020 год, шт.","Общая сумма ПДЗ свыше 5-ти дней за 2020 год, руб.","Кол-во раз ПДЗ за 2020 год, шт.","Оценка потенциала контрагента 1, руб.","Оценка потенциала контрагента 2, руб.",Статус,"2016, Нематериальные активы, RUB","2017, Нематериальные активы, RUB","2018, Нематериальные активы, RUB","2019, Нематериальные активы, RUB","2020, Нематериальные активы, RUB","2016, Основные средства , RUB","2017, Основные средства , RUB","2018, Основные средства , RUB","2019, Основные средства , RUB","2020, Основные средства , RUB","2016, Внеоборотные активы, RUB","2017, Внеоборотные активы, RUB","2018, Внеоборотные активы, RUB","2019, Внеоборотные активы, RUB","2020, Внеоборотные активы, RUB","2016, Дебиторская задолженность, RUB","2017, Дебиторская задолженность, RUB","2018, Дебиторская задолженность, RUB","2019, Дебиторская задолженность, RUB","2020, Дебиторская задолженность, RUB","2016, Оборотные активы, RUB","2017, Оборотные активы, RUB","2018, Оборотные активы, RUB","2019, Оборотные активы, RUB","2020, Оборотные активы, RUB","2016, Уставный капитал , RUB","2017, Уставный капитал , RUB","2018, Уставный капитал , RUB","2019, Уставный капитал , RUB","2020, Уставный капитал , RUB","2016, Капитал и резервы, RUB","2017, Капитал и резервы, RUB","2018, Капитал и резервы, RUB","2019, Капитал и резервы, RUB","2020, Капитал и резервы, RUB","2016, Заёмные средства (долгосрочные), RUB","2017, Заёмные средства (долгосрочные), RUB","2018, Заёмные средства (долгосрочные), RUB","2019, Заёмные средства (долгосрочные), RUB","2020, Заёмные средства (долгосрочные), RUB","2016, Долгосрочные обязательства, RUB","2017, Долгосрочные обязательства, RUB","2018, Долгосрочные обязательства, RUB","2019, Долгосрочные обязательства, RUB","2020, Долгосрочные обязательства, RUB","2016, Заёмные средства (краткосрочные), RUB","2017, Заёмные средства (краткосрочные), RUB","2018, Заёмные средства (краткосрочные), RUB","2019, Заёмные средства (краткосрочные), RUB","2020, Заёмные средства (краткосрочные), RUB","2016, Кредиторская задолженность, RUB","2017, Кредиторская задолженность, RUB","2018, Кредиторская задолженность, RUB","2019, Кредиторская задолженность, RUB","2020, Кредиторская задолженность, RUB","2016, Краткосрочные обязательства, RUB","2017, Краткосрочные обязательства, RUB","2018, Краткосрочные обязательства, RUB","2019, Краткосрочные обязательства, RUB","2020, Краткосрочные обязательства, RUB","2016, Выручка, RUB","2017, Выручка, RUB","2018, Выручка, RUB","2019, Выручка, RUB","2020, Выручка, RUB","2016, Себестоимость продаж, RUB","2017, Себестоимость продаж, RUB","2018, Себестоимость продаж, RUB","2019, Себестоимость продаж, RUB","2020, Себестоимость продаж, RUB","2016, Прибыль (убыток) до налогообложения , RUB","2017, Прибыль (убыток) до налогообложения , RUB","2018, Прибыль (убыток) до налогообложения , RUB","2019, Прибыль (убыток) до налогообложения , RUB","2020, Прибыль (убыток) до налогообложения , RUB","2016, Прибыль (убыток) от продажи, RUB","2017, Прибыль (убыток) от продажи, RUB","2018, Прибыль (убыток) от продажи, RUB","2019, Прибыль (убыток) от продажи, RUB","2020, Прибыль (убыток) от продажи, RUB",Факт. 20,Факт. 21,Факт.32,Факт.31,Факт.23,Факт 24,Факт 27,Факт 33,Факт 28,Факт 29,Факт 30,Факт 40,Факт 41,Факт 42,Факт 46,Факт 48,Факт 49,Факт 50,Факт 51,Факт 54,Факт 55,Факт 56,Факт 57,Факт 58,Факт 59,Факт 60,Факт 37,Факт 39,Факт 1,Факт 2,Факт 3,Факт 7,Факт 12,Факт 14,Факт 15,Факт 16,Итого,ПДЗ 1-30,ПДЗ 31-90,ПДЗ 91-365,ПДЗ более 365
0,0,0,0.0,0,0.0,0,10,6.4,4,2229696.445859872,5,3715286.624203822,3715286.624203822,Действующая,2895541.401273885,6245859.872611465,9050955.414012738,9885987.261146495,2332484.076433121,1889724203.821656,1803724203.821656,2145239490.44586,3606102547.7707,4292051592.356688,1928685350.318471,1880842038.21656,2440077707.006369,3737611464.968153,4379873885.350318,3583765605.095541,3683358598.726114,3475461146.496815,3692142038.21656,4977054777.070064,5159380254.77707,5897326114.649681,6077447770.700637,4981792356.687898,6170107006.369427,629400000.0,629400000.0,629400000.0,629400000.0,629400000.0,2673019745.22293,2971017197.452229,2289273885.350318,4865035031.847134,6881321019.10828,0.0,0.0,0.0,0.0,0.0,249877707.0063694,258973248.4076433,271221019.1082802,276483439.4904459,217473885.3503185,0.0,0.0,392391719.7452229,0.0,0.0,4080056050.955414,4452921656.050955,5476906369.426751,3478978343.949044,3333519745.22293,4165168152.866242,4548177707.00637,5957030573.248407,3577885350.318471,3451185987.261147,26676980254.77707,41626929936.30573,37039522292.99363,32347554140.12739,27947875159.23567,21568144585.98726,33354425477.707,34383128662.42038,26734812101.91083,20583174522.29299,3179696815.286624,6167666878.980891,746182802.5477706,3603784076.433121,5586340764.33121,3280355414.012739,6200119745.22293,871619108.2802547,3658633757.961783,5971943312.101911,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,5.0,0,0,1,1
1,2,7,5.5,1,132825.2993630573,2,6,5.333333333333333,2,3759242.03821656,3,0.0,15923566.87898089,Действующая,2468152.866242038,12880254.77707006,8694904.458598725,4958598.726114649,18444585.98726115,969806369.4267516,944416560.509554,928738853.5031848,1027507643.312102,1063706369.426751,973274522.2929935,1036412101.910828,1018682165.605096,1233413375.796178,1301417834.394904,281467515.9235669,232107006.3694268,228049681.5286624,277031210.1910828,371442038.2165605,1286917197.452229,1489083439.490446,1590216560.509554,837764968.1528662,753777707.0063694,19644585.98726115,19644585.98726115,19644585.98726115,19644585.98726115,19644585.98726115,2110424840.764331,2339440127.388535,2378698089.171975,1854768789.808917,1765123566.878981,0.0,0.0,0.0,0.0,0.0,13398089.17197452,11831210.1910828,2843949.044585987,0.0,5629299.363057325,0.0,0.0,0.0,0.0,0.0,82468789.8089172,88571974.52229299,123771337.5796178,115282802.5477707,173147770.7006369,136368789.8089172,174224203.821656,227356687.8980892,216409554.1401274,284442675.1592357,2786577070.063694,2699396815.286624,2592420382.165605,2754207643.312102,2583063057.324841,2038075796.178344,2178598089.171975,2316724203.821656,2460678980.89172,2519737579.617834,502666242.0382165,364422929.9363057,85529936.30573247,-645643949.044586,-113833121.0191083,414858598.7261146,161131847.1337579,-92989808.91719744,-120721019.1082803,-355471974.522293,,,,,,,,,,10.0,,,,,,,5.0,,,,,,,,5.0,5.0,,,,,,,,,,,25.0,0,0,1,1
2,4,2,2.0,0,0.0,2,1,1.0,0,0.0,2,19638853.50318471,10084713.37579618,Действующая,550318.4713375795,521019.1082802548,449044.5859872611,398726.1146496815,347770.7006369426,26331612101.91083,29385844585.98726,30089698726.11465,30264612738.8535,32819191082.80255,111404193630.5732,104497008917.1974,100154213375.7962,120662075159.2357,125299465605.0955,4541816560.509554,4383371974.522293,11246701273.88535,10521138853.50318,18609931210.19108,8228871974.522293,9396645859.872612,20771890445.85987,15250298089.17197,24052113375.79618,595541.4012738853,595541.4012738853,595541.4012738853,595541.4012738853,595541.4012738853,14880383439.49045,5645400000.0,10544059872.61147,6407566878.980891,37517386624.20382,62352467515.92356,95734443312.10191,90432717197.45222,95504385987.26114,88029357324.84076,63118373248.40764,97175324840.76431,92237910191.0828,98182435668.7898,90765895541.40128,35729452229.29936,6409564968.152866,13562033757.96178,25736810191.0828,14481910828.02548,5608172611.464968,4287299363.057325,3855060509.55414,4801099363.057324,6004639490.44586,41634308917.19745,11072929936.30573,18144133757.96178,31322370700.63694,21068296815.28662,47169338853.50318,66582429936.30573,86119098089.17197,94097654140.12738,96299566878.98088,19501673248.40764,23400422292.99363,26525468789.80892,30558275159.23567,32623360509.55414,71639800636.94267,37998624203.82166,45936061783.43949,49604078343.94904,141842082165.6051,23389118471.33758,37279844585.98726,53075239490.44585,56221224840.76433,57368819108.28025,,,,,,,,,,,,,,,,,5.0,,,5.0,,,,,,,,,,,,,,,,,10.0,0,0,0,0
3,5,0,0.0,0,0.0,0,21,17.66666666666667,5,4486078.904458598,6,159235668.7898089,6369426.751592357,Действующая,13649681.52866242,10221656.05095541,22117197.4522293,24894904.45859873,22221019.10828025,35452358598.72611,35819603821.65605,35873358598.72611,39420564331.21019,42017635668.78981,35844258598.72611,35880066242.03822,36543041401.27389,39925541401.27388,42872390445.85987,3929728662.420382,6912857324.840764,6165454777.070064,19020166242.03822,23999804458.59872,26104071337.57962,27744347133.75796,44115340127.38853,31309885987.26115,25423777070.06369,1983439.49044586,1983439.49044586,1983439.49044586,1983439.49044586,1983439.49044586,51540270700.63694,47398566878.98089,63850556050.95541,48905205095.5414,57236184076.43312,4990870700.636943,4283736305.732484,4142978980.89172,2237329299.363057,975312738.8535032,5941926751.592357,6070075796.178344,6026959872.611465,4169849044.585987,3321966878.980892,1403783439.490446,1240860509.55414,3446008280.254777,1503112738.853503,1959623566.878981,2898902547.7707,8729386624.203821,7086105732.484076,16405092356.6879,5473999363.057324,4466132484.076433,10155770700.63694,10780865605.09554,18160373248.40764,7738016560.509554,23884656050.95541,33614252866.24204,46379745859.87261,52539207006.36942,62492997452.22929,8572090445.859872,12485565605.09554,14396717834.3949,15606152866.24204,16773621656.05095,9990123566.87898,18731511464.96815,34894135031.84713,32952542038.21656,42565363694.26752,11493848407.64331,19628121656.05095,30425531847.13376,34805550318.47134,42814828662.42038,,,,,,,,,,,,,,,,,5.0,,5.0,5.0,,,,,5.0,,,,,,,,,,,,20.0,0,0,0,1
4,6,0,0.0,0,0.0,0,0,0.0,0,0.0,0,3184713.375796178,3184713.375796178,Действующая,589808.9171974522,539490.4458598726,489808.9171974522,441401.2738853503,391719.7452229299,10127901910.82803,11503770063.69427,11142412738.8535,12484871974.52229,12282856687.89809,47680943949.04459,41387948407.64331,42873052229.29936,33753598726.11465,20239364331.21019,5114849681.528663,6560424203.821656,10995872611.46497,8921848407.643312,11932768789.80892,19438182802.54777,25101177070.06369,26334457324.84076,16602068789.80892,32360966242.03822,2717197.452229299,2717197.452229299,2717197.452229299,2717197.452229299,2717197.452229299,6494964968.152866,2784839490.44586,1500636942.675159,810621656.0509554,8976491082.802547,45461484076.43312,48036178980.89172,59883778343.94904,40571640764.33121,33805408917.19745,46169423566.87898,48899433757.96178,60827592993.63057,41414824203.82166,34825424840.76433,1579972611.464968,10119656050.95541,711331210.1910827,1390140127.388535,448028025.477707,12590846496.81529,4416149044.585987,5925311464.968153,6442635031.847134,8018418471.33758,14454738216.56051,14804852229.29936,6879279617.834394,8130221656.050955,8798414649.681528,50668677070.06369,59786529936.30573,75005711464.96815,65814555414.01273,66286513375.79617,36929883439.49045,42269070063.69427,49694920382.1656,55555932484.07643,52908792356.6879,22945890445.85987,11160377707.00637,12242540127.38853,4937961146.496815,-565550955.4140127,10291078343.94904,13457445859.87261,20944695541.40127,5430333121.019108,8212564331.210191,,,,,,,,,,10.0,,,,,,,5.0,,,,,,,,5.0,,,,,,,,,,,,20.0,0,0,0,0
5,7,8,3.366197183098592,5,2400857.694267516,71,18,6.882352941176471,7,2622550.140127389,17,19108280.25477707,19108280.25477707,Действующая,0.0,0.0,0.0,0.0,0.0,35815923.56687898,30640127.38853503,31544585.98726115,27776433.12101911,24457961.78343949,82024203.82165605,78015923.56687897,74730573.24840765,71534394.9044586,69405732.48407643,151794904.4585987,158761783.4394904,47075796.17834394,47875159.23566879,29287898.08917197,239101273.8853503,227884076.433121,122335031.8471338,133984076.433121,103885350.3184713,111464.9681528662,111464.9681528662,111464.9681528662,111464.9681528662,111464.9681528662,276844585.9872611,265335668.7898089,158047770.7006369,160194267.5159236,146515286.6242038,0.0,0.0,0.0,0.0,0.0,890445.8598726115,2000636.942675159,1170063.694267516,737579.6178343949,1267515.923566879,9554.140127388537,6384076.433121019,11165605.0955414,13996815.2866242,636.9426751592356,40801273.88535032,29595541.40127388,24449681.52866242,28761146.49681529,23868152.86624204,43390445.85987261,38563694.26751592,37847770.70063694,44586624.20382165,25508280.25477707,444920382.1656051,427414012.7388535,397070063.6942675,331110828.0254777,267527388.5350318,382854140.1273885,392873885.3503184,366075796.178344,302210191.0828025,258507006.3694267,35164331.21019108,10854140.12738854,8917834.394904459,12585350.31847134,-3733757.961783439,40073885.35031847,17549681.52866242,16398726.11464968,16619745.22292994,-1681528.662420382,,,,,,,,,,10.0,,,,,,,5.0,,,,,,,,5.0,,,,,,,,,,,,20.0,0,0,0,0
6,8,14,2.306122448979592,5,2922935.414012739,49,6,2.411764705882353,1,202624.5605095541,17,3821656.050955414,3821656.050955414,Действующая,0.0,0.0,0.0,0.0,0.0,183940764.3312102,0.0,436887261.1464968,513924840.7643312,451246496.8152866,185503184.7133758,0.0,438275159.2356688,515273885.3503184,453460509.5541401,72462420.3821656,0.0,110446496.8152866,82609554.14012739,127208280.2547771,303647133.7579618,0.0,281873248.4076433,359727388.5350319,388878343.9490446,170700.6369426752,0.0,170700.6369426752,170700.6369426752,170700.6369426752,301803184.7133758,0.0,412044585.9872611,429540127.388535,520686624.2038217,0.0,0.0,181376433.1210191,204732484.0764331,193960509.5541401,4659872.611464968,0.0,188318471.3375796,216596815.2866242,205937579.6178344,57324840.76433121,0.0,31847133.75796178,87840127.38853502,27044585.98726115,118577707.0063694,0.0,76364331.21019109,133442038.2165605,78599363.05732484,182687261.1464968,0.0,119785350.3184713,228864331.2101911,115714649.6815287,924388535.0318472,0.0,1031371974.522293,1157608280.254777,1415543312.101911,817626114.6496814,0.0,922115923.5668788,1037101273.88535,1157609554.140127,87852229.29936305,0.0,98444585.98726116,53671974.52229299,145849681.5286624,72650318.47133757,0.0,65754140.12738853,65621656.05095541,196361783.4394904,,,,,,,,,,,,,,,,,5.0,,,5.0,,,,,,,,,,,,,,,,,10.0,0,0,0,0
7,9,124,16.31506849315069,34,53973655.10828025,73,211,103.3888888888889,16,26025310.15286624,18,0.0,19108280.25477707,Действующая,15286.62420382166,13375.79617834395,11464.96815286624,9554.140127388537,7643.312101910828,7561783.439490446,21100000.0,31663057.32484076,27977070.06369426,13604458.59872611,7653503.184713376,21175796.17834395,31733121.01910828,34759872.61146497,27966242.03821656,83891719.74522293,84185350.31847133,123931210.1910828,65626751.59235668,54788535.03184713,163126114.6496815,186939490.4458599,226256050.955414,156850318.4713376,80078343.94904459,87898.08917197451,87898.08917197451,87898.08917197451,87898.08917197451,87898.08917197451,96801910.82802548,106997452.2292994,107647133.7579618,82296178.34394903,43735668.78980891,4267515.923566879,44585987.26114649,0.0,0.0,0.0,5112738.853503184,46331210.1910828,1495541.401273885,2189171.974522293,233121.0191082802,0.0,0.0,33610828.02547771,0.0,0.0,67093630.5732484,54471337.57961784,114919108.2802548,107061783.4394904,63626114.64968152,68864968.15286624,54786624.20382165,148846496.8152866,107124840.7643312,64075796.17834394,418696815.2866242,379060509.5541401,339275159.2356688,280462420.3821656,142420382.1656051,338498726.1146497,313912101.910828,289257324.8407643,266484076.433121,159703184.7133758,21464331.21019108,13606369.42675159,1393630.573248408,-31038216.56050955,-47857961.78343949,37409554.14012739,15840127.38853503,7669426.751592357,-28285987.2611465,-51900000.0,,,,40.0,,,,,,10.0,,,,,,,5.0,,,,,,,,,5.0,,,,,,,,,,,60.0,0,0,0,1
8,12,88,8.117647058823529,14,4074008.649681529,34,12,3.083333333333333,5,1456732.656050955,36,6369426.751592357,6369426.751592357,Действующая,0.0,0.0,0.0,0.0,0.0,67622929.93630573,62559872.61146496,58159235.6687898,49246496.81528662,49750955.41401274,96049681.5286624,75084713.37579617,58635031.84713376,49613375.79617834,50117834.39490446,150803821.656051,165670700.6369427,218949681.5286624,328957961.7834395,316426114.6496815,267912101.910828,402307643.3121019,400156687.8980892,542397452.2292993,580956687.8980892,720382.1656050956,720382.1656050956,720382.1656050956,720382.1656050956,720382.1656050956,177713375.7961783,180581528.6624204,182270700.6369427,184489808.9171974,186344585.9872611,41325477.70700637,51668789.80891719,26114649.68152866,114649044.5859873,117197452.2292994,41712738.85350318,52056050.95541401,26501910.82802548,115036305.7324841,117584713.3757962,44909554.14012738,37503184.71337579,66878980.89171974,27834394.9044586,0.0,99626114.64968152,207251592.3566879,183140127.388535,264650318.4713376,327145222.9299363,144535668.7898089,244754777.0700637,250019108.2802548,292484713.3757961,327145222.9299363,530453503.1847134,599661783.4394904,694632484.0764331,637400636.9426751,531955414.0127388,513868152.866242,582274522.2929937,669937579.6178343,609470063.6942675,515578343.9490446,3811464.968152866,4598089.171974522,6168152.866242038,9601910.828025475,3509554.140127388,16585350.31847134,17387261.14649681,24694904.45859873,27930573.24840764,16377070.06369427,,,,,,,,,,,,,,,,,5.0,,,,,,,,5.0,5.0,,,,,,,,,,,15.0,0,0,1,0
9,13,14,4.125,3,525143.3630573248,8,5,2.230769230769231,0,0.0,13,0.0,2547770.700636942,Действующая,0.0,0.0,0.0,0.0,0.0,168522292.9936306,160982165.6050955,213025477.7070064,212961783.4394904,199982802.5477707,5788577707.00637,5795498089.171974,5259647133.757961,4960145859.872611,5586046496.815287,2062121656.050955,2698771974.522293,1877126114.649682,1611080254.77707,739163057.3248408,4656152229.299363,3917297452.229299,3025082802.547771,2787994904.458599,2932430573.248407,170700.6369426752,170700.6369426752,170700.6369426752,170700.6369426752,170700.6369426752,1845685987.261146,1974340764.33121,2016145222.929936,2057504458.598726,2186973248.407643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7351321656.050955,7136992356.687898,5690907643.312101,5337441401.273885,5402819745.22293,8599043949.044586,7738454777.070064,6268584713.375796,5690636305.732484,6331503821.656051,995016560.509554,1714094267.515924,1705433121.019108,2284331847.133758,2004486624.203822,778989171.9745222,1460926751.592357,1507584076.433121,1955467515.923567,1624494267.515924,108722929.9363057,161247770.7006369,54520382.16560509,54171337.57961784,162437579.6178344,37798089.17197452,87324203.82165605,29682802.5477707,159353503.1847134,114150318.4713376,,,,,,,,,,,,,,,,,5.0,10.0,,,,,,,5.0,5.0,,,,,,,,,,,25.0,0,0,0,0
